HUGO_SYMBOL	Type	con	V1	V2	V3
MEF2B	E	MEF2B_E	T	T	T
MEN1	E	MEN1_E	T	T	T
MET	E	MET_E	T	T	T
MITF	E	MITF_E	T	T	T
MLH1	E	MLH1_E	T	T	T
MLL	E	MLL_E	T	T	F
MLL2	E	MLL2_E	T	T	F
MPL	E	MPL_E	T	T	T
MSH2	E	MSH2_E	T	T	T
MSH6	E	MSH6_E	T	T	T
MTOR	E	MTOR_E	T	T	T
MUTYH	E	MUTYH_E	T	T	T
MYB	E	MYB_E	T	T	T
MYBL1	E	MYBL1_E	T	T	T
MYC	E	MYC_E	T	T	T
MYCL1	E	MYCL1_E	T	T	F
MYCN	E	MYCN_E	T	T	T
MYD88	E	MYD88_E	T	T	T
NBN	E	NBN_E	T	T	T
NF1	E	NF1_E	T	T	T
NF2	E	NF2_E	T	T	T
NFE2L2	E	NFE2L2_E	T	T	T
NFKBIA	E	NFKBIA_E	T	T	T
NFKBIZ	E	NFKBIZ_E	T	T	T
NKX2-1	E	NKX2-1_E	T	T	T
NOTCH1	E	NOTCH1_E	T	T	T
NOTCH2	E	NOTCH2_E	T	T	T
NPM1	E	NPM1_E	T	T	T
NRAS	E	NRAS_E	T	T	T
NTRK1	E	NTRK1_E	T	T	T
NTRK2	E	NTRK2_E	T	T	T
NTRK3	E	NTRK3_E	T	T	T
PALB2	E	PALB2_E	T	T	T
PARK2	E	PARK2_E	T	T	T
PAX5	E	PAX5_E	T	T	T
PDCD1LG2	E	PDCD1LG2_E	T	T	T
PDGFRA	E	PDGFRA_E	T	T	T
PDGFRB	E	PDGFRB_E	T	T	T
PHF6	E	PHF6_E	T	T	T
PHOX2B	E	PHOX2B_E	T	T	T
PIK3C2B	E	PIK3C2B_E	T	T	T
PIK3CA	E	PIK3CA_E	T	T	T
PIK3R1	E	PIK3R1_E	T	T	T
PIM1	E	PIM1_E	T	T	T
PMS1	E	PMS1_E	T	T	T
PMS2	E	PMS2_E	T	T	T
PNRC1	E	PNRC1_E	T	T	F
PRAME	E	PRAME_E	T	T	F
PRDM1	E	PRDM1_E	T	T	T
PRF1	E	PRF1_E	T	T	T
PRKAR1A	E	PRKAR1A_E	T	T	T
PRKCI	E	PRKCI_E	T	T	T
PRKCZ	E	PRKCZ_E	T	T	F
PRKDC	E	PRKDC_E	T	T	T
PRPF40B	E	PRPF40B_E	T	T	F
PRPF8	E	PRPF8_E	T	T	F
PSMD13	E	PSMD13_E	T	T	F
PTCH1	E	PTCH1_E	T	T	T
PTEN	E	PTEN_E	T	T	T
PTK2	E	PTK2_E	T	T	F
PTPN11	E	PTPN11_E	T	T	T
RAD21	E	RAD21_E	T	T	T
RAF1	E	RAF1_E	T	T	T
RARA	E	RARA_E	T	T	T
RB1	E	RB1_E	T	T	T
RBL2	E	RBL2_E	T	T	F
REL	E	REL_E	T	T	T
RET	E	RET_E	T	T	T
RFWD2	E	RFWD2_E	T	T	F
RHPN2	E	RHPN2_E	T	T	F
ROS1	E	ROS1_E	T	T	T
RPL26	E	RPL26_E	T	T	F
RUNX1	E	RUNX1_E	T	T	T
SBDS	E	SBDS_E	T	T	T
SDHAF2	E	SDHAF2_E	T	T	T
SDHB	E	SDHB_E	T	T	T
SDHC	E	SDHC_E	T	T	T
SDHD	E	SDHD_E	T	T	T
SETBP1	E	SETBP1_E	T	T	T
SETD2	E	SETD2_E	T	T	T
SF1	E	SF1_E	T	T	F
SF3B1	E	SF3B1_E	T	T	T
SH2B3	E	SH2B3_E	T	T	T
SMAD2	E	SMAD2_E	T	T	T
SMAD4	E	SMAD4_E	T	T	T
SMARCA4	E	SMARCA4_E	T	T	T
SMARCB1	E	SMARCB1_E	T	T	T
SMC1A	E	SMC1A_E	T	T	F
SMC3	E	SMC3_E	T	T	T
SMO	E	SMO_E	T	T	T
SOCS1	E	SOCS1_E	T	T	T
SOX2	E	SOX2_E	T	T	T
SOX9	E	SOX9_E	T	T	T
SRC	E	SRC_E	T	T	F
SRSF2	E	SRSF2_E	T	T	T
STAG1	E	STAG1_E	T	T	F
STAG2	E	STAG2_E	T	T	T
STAT3	E	STAT3_E	T	T	T
STAT6	E	STAT6_E	T	T	T
STK11	E	STK11_E	T	T	T
SUFU	E	SUFU_E	T	T	T
SUZ12	E	SUZ12_E	T	T	T
SYK	E	SYK_E	T	T	F
TCF3	E	TCF3_E	T	T	T
TCF7L1	E	TCF7L1_E	T	T	F
TCF7L2	E	TCF7L2_E	T	T	T
TERT	E	TERT_E	T	T	T
TET2	E	TET2_E	T	T	T
TNFAIP3	E	TNFAIP3_E	T	T	T
TP53	E	TP53_E	T	T	T
TSC1	E	TSC1_E	T	T	T
TSC2	E	TSC2_E	T	T	T
U2AF1	E	U2AF1_E	T	T	T
VHL	E	VHL_E	T	T	T
WRN	E	WRN_E	T	T	T
WT1	E	WT1_E	T	T	T
XPA	E	XPA_E	T	T	T
XPC	E	XPC_E	T	T	T
XPO1	E	XPO1_E	T	T	T
ZNF217	E	ZNF217_E	T	T	T
ZNF708	E	ZNF708_E	T	T	F
ZRSR2	E	ZRSR2_E	T	T	T
ABL1	I	ABL1_I	T	T	T
AKT3	I	AKT3_I	T	T	F
ALK	I	ALK_I	T	T	T
BCL2	I	BCL2_I	T	T	F
BCL6	I	BCL6_I	T	T	T
BRAF	I	BRAF_I	T	T	T
CIITA	I	CIITA_I	T	T	T
EGFR	I	EGFR_I	T	T	T
ETV1	I	ETV1_I	T	T	F
EWSR1	I	EWSR1_I	T	T	T
FGFR1	I	FGFR1_I	T	T	T
FGFR3	I	FGFR3_I	T	T	T
FUS	I	FUS_I	T	T	T
IGH@	I	IGH@_I	T	T	F
IGL@	I	IGL@_I	T	T	F
JAK2	I	JAK2_I	T	T	T
MLL	I	MLL_I	T	T	F
MYC	I	MYC_I	T	T	F
NPM1	I	NPM1_I	T	T	T
PAX5	I	PAX5_I	T	T	F
PDGFRA	I	PDGFRA_I	T	T	T
PDGFRB	I	PDGFRB_I	T	T	T
RAF1	I	RAF1_I	T	T	T
RARA	I	RARA_I	T	T	T
RET	I	RET_I	T	T	T
ROS1	I	ROS1_I	T	T	T
TRA@	I	TRA@_I	T	T	F
TRB@	I	TRB@_I	T	T	F
IGK@	I	IGK@_I	T	F	F
TRG@	I	TRG@_I	T	F	F
CSF3R	E	CSF3R_E	F	T	T
FUS	E	FUS_E	F	T	T
KDM5C	E	KDM5C_E	F	T	T
KEAP1	E	KEAP1_E	F	T	T
PBRM1	E	PBRM1_E	F	T	T
QKI	E	QKI_E	F	T	T
RECQL4	E	RECQL4_E	F	T	T
RHEB	E	RHEB_E	F	T	T
SDHA	E	SDHA_E	F	T	T
TERC	E	TERC_E	F	T	T
ERG	I	ERG_I	F	T	T
FGFR2	I	FGFR2_I	F	T	T
NTRK1	I	NTRK1_I	F	T	T
PPARG	I	PPARG_I	F	T	T
SS18	I	SS18_I	F	T	T
